# zlow zhi meanz CORmeanz fout stdd bias IQR IQRstdd IQRbias CORstdd CORbias CORIQR CORIQRstdd CORIQRbias estdd ebias eIQR eIQRstdd eIQRbias eCORstdd eCORbias eCORIQR eCORIQRstdd eCORIQRbias 
0.000 0.300 0.2163 0.2169 0.2056 0.4668 0.1434 0.0441 0.0327 0.0095 0.1010 0.0321 0.0335 0.0248 0.0070 0.0212 0.0112 0.0032 0.0024 0.0009 0.0131 0.0025 0.0020 0.0015 0.0007 
0.300 0.600 0.4702 0.4716 0.1334 0.2474 0.0310 0.0311 0.0231 0.0019 0.0678 -0.0004 0.0303 0.0225 0.0014 0.0128 0.0036 0.0007 0.0005 0.0004 0.0071 0.0010 0.0007 0.0005 0.0004 
0.600 0.900 0.7377 0.7376 0.0286 0.0385 0.0018 0.0218 0.0161 0.0006 0.0308 0.0013 0.0217 0.0161 0.0006 0.0061 0.0006 0.0005 0.0004 0.0003 0.0043 0.0004 0.0005 0.0004 0.0002 
0.900 1.200 1.0287 1.0287 0.0441 0.0461 0.0071 0.0215 0.0159 0.0009 0.0461 0.0071 0.0215 0.0159 0.0009 0.0029 0.0008 0.0005 0.0004 0.0003 0.0030 0.0008 0.0005 0.0004 0.0003 
1.200 1.500 1.3490 1.3490 0.0752 0.0390 0.0025 0.0334 0.0248 0.0009 0.0390 0.0025 0.0334 0.0248 0.0009 0.0015 0.0008 0.0009 0.0007 0.0006 0.0015 0.0008 0.0009 0.0007 0.0006 
1.500 1.800 1.6355 1.6355 0.0998 0.0589 -0.0071 0.0439 0.0326 -0.0026 0.0589 -0.0071 0.0439 0.0326 -0.0026 0.0044 0.0016 0.0012 0.0009 0.0010 0.0046 0.0017 0.0013 0.0009 0.0010 
1.800 2.100 1.9369 1.9369 0.1265 0.0582 -0.0061 0.0449 0.0333 -0.0012 0.0582 -0.0061 0.0449 0.0333 -0.0012 0.0037 0.0021 0.0023 0.0017 0.0014 0.0038 0.0022 0.0023 0.0017 0.0013 
2.100 2.400 2.2501 2.2479 0.1545 0.1203 -0.0318 0.0428 0.0317 -0.0063 0.0728 -0.0168 0.0395 0.0293 -0.0053 0.0131 0.0061 0.0037 0.0028 0.0017 0.0083 0.0037 0.0033 0.0024 0.0016 
2.400 2.700 2.5504 2.5457 0.2774 0.2481 -0.1094 0.0678 0.0503 -0.0093 0.0861 -0.0079 0.0483 0.0358 0.0006 0.0123 0.0143 0.0148 0.0110 0.0033 0.0138 0.0057 0.0033 0.0024 0.0027 
2.700 3.000 2.8395 2.8417 0.4886 0.3099 -0.2280 0.6287 0.4660 -0.1503 0.0630 -0.0016 0.0544 0.0403 -0.0051 0.0065 0.0190 0.0163 0.0121 0.0351 0.0067 0.0046 0.0066 0.0049 0.0034 
